0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.4237257,0.24446577,-0.70071805,-0.21240523,1.7502207,-0.66722196,-0.35763055,0.81282645,0.25218043,-0.741436,1.4196041,0.98647076,1.0070006,1.2107489,-0.20287058,-0.64947385,-1.9231243,-0.997792,-1.2777992,-0.33929625,0.2211941,0.07829666,-0.08867112,0.023694508,1.871064,-0.37460944,0.30373523,0.25304154,0.00626238,-0.32694378,0.46570134,-0.46016145,0.31413007,1.1862175,0.774119,0.53655064,-0.17630838,0.081095636,1.6146641,-0.3859782,0.6760727,-2.6274693,0.32993892,1.080592,-0.9374471,-1.3651565,-1.1047394,-0.8321962,-1.4145467,1.4617825,-1.5424846,0.00134616,0.2556049,-1.5212455,-0.48919737,0.09495086,0.73785615,0.4696759,-0.4934267,-1.3013223,-0.10744149,-1.0852253,-0.17975008,-0.50792307
-0.07476427,0.3148139,-0.44881976,-0.06265709,-0.29300046,0.21190731,-0.056473836,0.47364196,-0.5260185,-0.3218802,1.1244942,0.5246089,0.9425401,1.0096278,0.20115474,-0.94108695,0.060202345,-0.5640683,-0.75010914,0.38413936,0.41345915,-0.44970578,0.17755575,-0.8952641,0.29539368,-1.0029093,-0.19026583,-0.5621298,0.008791919,-0.16034362,0.28168464,0.44871113,-0.060962234,-0.22511491,-0.02070605,0.4278034,-0.8899894,0.18422656,-0.39980876,0.11574046,0.024367634,-0.04536452,-0.7675129,0.23682441,-0.83023065,1.7004534,-0.29428825,-0.35733113,-0.5918811,-0.2457884,-0.34265897,0.024348808,0.38416445,-0.5468749,-1.4072816,-0.3390059,0.20356886,0.14666975,0.27672887,-0.6550237,-0.5940604,-0.029779522,0.19740276,-0.55565935
-1.6149001,-0.4043994,0.3955952,-0.021657763,0.99727803,1.4486077,-0.09202769,-1.5242367,-0.6156069,-0.18712734,0.60166466,0.9555644,0.6574283,1.9279634,-0.017890248,-0.2799646,1.782275,0.41128471,-0.29083708,0.55415666,0.18387863,-0.71313184,-1.2144045,0.52177393,0.7533392,0.5028235,0.37988967,0.40320057,-1.6486715,0.60557014,0.7185344,0.66386664,-0.4038765,1.1302915,-0.35554346,1.1209602,-2.2222292,-1.6304861,0.27241674,-0.025118973,-0.6018141,-1.274718,-0.11989244,-0.0884603,-0.7761237,0.33681774,0.30112994,0.52782756,-0.3104176,0.5626288,-1.8868284,0.95862836,-0.028746065,0.8790222,-0.77881557,-1.2475957,-1.4151067,1.6121628,-0.29014984,-1.4024228,-0.090143256,0.073119506,0.50129765,0.1213738
0.24341232,0.10614199,-0.94657046,0.7585829,-0.8864641,1.0705665,-0.40997213,1.7992561,0.3439713,-0.62662894,0.75257015,1.2450147,-1.1047002,0.82724047,-0.16640438,0.07573564,1.1205475,0.52896976,-0.38808388,-0.8217757,1.4123969,0.1774118,0.4176216,-0.049227796,-0.0879674,0.7926311,0.20118585,-0.09463304,0.2525695,0.8021638,1.3421847,1.5969595,0.13322407,-0.19543208,-0.4754507,-5.78E-05,0.26511982,-0.4671742,0.57562155,-0.7407906,-1.5578133,-1.4096531,0.080616705,0.36847937,-0.8156357,0.37029493,-1.9047874,1.2456785,0.5767042,-1.366269,-1.5965576,0.16373356,-0.062445745,-0.62957,-0.7981373,-0.43887135,2.2524834,-0.013076913,-0.5078481,-0.56809735,0.723514,-0.15863714,-0.70733047,0.8148408
0.21778464,0.6330421,0.7269921,0.17427602,-2.007032,-0.3375138,0.46020696,1.358761,-0.17689958,-1.5123283,0.17826495,0.5542674,0.018684456,0.5510432,-0.12798446,-0.24254839,0.3528732,0.03214496,0.16019696,0.6824052,0.19170138,0.038260233,-0.8346962,-0.28218597,-0.8776108,0.21047823,-0.6450651,0.2725856,1.0557685,1.2776216,0.4714893,0.05524628,0.49789655,-0.56378824,0.8936384,-0.22206922,-1.1473073,-0.67785287,0.75369674,-0.084176086,-0.12235296,-0.12611112,-1.0370085,-1.1191529,-1.4179066,-0.52936566,-1.5894481,-0.9117717,-0.5482434,-1.0657501,-1.6041757,0.1406665,-0.06742552,-0.8562664,-0.9277628,0.28893337,1.384194,1.080904,-0.16524664,-0.06281172,0.56947154,-0.36148262,0.6563084,-0.20538397
0.3361357,0.64616275,0.91126037,0.22884446,-2.0223513,-0.17300257,0.53056836,1.3277782,-0.115232036,-1.6300147,-0.0703351,0.6081753,0.03039993,0.5848866,-0.074805446,-0.2798971,0.37560356,0.005078753,0.21980684,0.67968076,0.19174199,0.016840886,-0.81339985,-0.261755,-1.0498723,0.046511766,-0.55003905,0.26209894,0.98922724,1.2860147,0.50388443,0.10224411,0.46207374,-0.63694084,0.9530844,-0.18174505,-1.2563896,-0.70362824,0.7243557,0.07902246,-0.042237043,-0.14417425,-1.2356632,-1.3395654,-1.4100448,-0.70032614,-1.5999027,-0.98103327,-0.63484436,-1.0392456,-1.6056155,0.020630427,-0.20140815,-0.93427706,-0.91983473,0.28926656,1.5179093,1.0531367,-0.031404756,-0.000993095,0.41736642,-0.2251145,0.5947412,-0.16761687
-0.24954225,-0.26602477,-0.60914755,0.005557956,-0.44021943,-0.12035916,0.8206735,0.19910845,0.26628587,-0.17988709,0.50170213,1.0175337,0.8806727,0.5274874,-0.06427285,-0.33957335,0.27590665,-0.4899014,-0.8298649,-0.19203739,-0.1726209,0.007415986,-0.7085226,-0.01719605,0.17971325,-0.08846304,-0.11020737,0.3059726,0.45495766,0.23914324,0.18143088,0.09216705,0.1510253,0.004751793,0.7554292,0.3162007,-0.5128249,0.3964303,0.2254706,0.30575135,0.23093022,-0.26998773,-0.08902357,0.14715509,-0.31228846,-0.94121903,-0.3912475,-0.54162276,-0.18443006,-0.3329477,-0.62725884,-0.87167054,0.46618348,0.019569537,-0.15124169,0.6585062,0.5580907,0.502421,0.964718,0.1985256,-0.65554184,-0.055672698,-0.48563576,-0.305049
-0.41272098,0.012770255,-0.5203608,-0.10984185,0.11440494,0.20144518,0.2935519,0.29946154,0.074455194,-0.5688245,0.47426197,0.48772046,0.60708123,0.40565842,0.03890508,0.05762084,0.12892397,-0.18708177,-0.76536286,-0.18803956,0.17251825,0.16049097,-0.3386297,0.11537295,0.7929381,-0.03905746,-0.09766533,-0.008533573,0.03958576,0.34838346,-0.20474505,0.1193443,-0.426867,0.48697004,0.65722805,-0.007751575,-0.5115787,-0.1472275,0.2712291,-0.19313371,0.14648174,-0.28965914,-0.20003602,0.49343482,-0.7388937,-1.0166063,-0.13848962,-0.40506062,-0.015537059,0.22683151,-0.5665696,-0.23273374,0.17472787,-0.010829544,-0.2970397,0.19473484,0.35451669,0.78920424,-0.046470765,0.10635974,-0.4872776,-0.5568598,-0.31759775,0.34985533
-0.59605175,0.13149932,-0.6398179,-0.13429868,0.15004514,0.2541838,-0.06718364,0.21765035,0.058551326,-0.49510065,0.35363817,-0.003155083,0.6811275,0.5031203,-0.010333386,0.03650296,0.057696175,-0.41744682,-0.9966734,-0.05988354,0.2909142,0.0917662,-0.17282943,0.11762693,0.71270704,0.07180783,-0.1767161,-0.3298315,-0.08923618,0.5981036,-0.13396113,0.25325397,-0.41501126,0.64044476,0.3388388,-0.062206913,-0.5775358,-0.4060376,0.40780187,-0.15571147,0.18571603,-0.3499855,-0.0269066,0.57493144,-0.637912,-0.5081227,-0.26246968,-0.16338919,0.017100096,0.12410082,-0.7749893,-0.34495282,0.5362013,0.040368307,-0.5426142,-0.09497888,0.25529858,0.6304222,-0.094511874,-0.014907135,-0.5334406,-0.22585097,-0.10249152,0.556805
-0.41272098,0.012770255,-0.5203608,-0.10984185,0.11440494,0.20144518,0.2935519,0.29946154,0.074455194,-0.5688245,0.47426197,0.48772046,0.60708123,0.40565842,0.03890508,0.05762084,0.12892397,-0.18708177,-0.76536286,-0.18803956,0.17251825,0.16049097,-0.3386297,0.11537295,0.7929381,-0.03905746,-0.09766533,-0.008533573,0.03958576,0.34838346,-0.20474505,0.1193443,-0.426867,0.48697004,0.65722805,-0.007751575,-0.5115787,-0.1472275,0.2712291,-0.19313371,0.14648174,-0.28965914,-0.20003602,0.49343482,-0.7388937,-1.0166063,-0.13848962,-0.40506062,-0.015537059,0.22683151,-0.5665696,-0.23273374,0.17472787,-0.010829544,-0.2970397,0.19473484,0.35451669,0.78920424,-0.046470765,0.10635974,-0.4872776,-0.5568598,-0.31759775,0.34985533
